,Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,VideoAmt,Description,PhotoAmt,AdoptionSpeed
2845,2,0,2,266,0,1,7,0,0,2,2,1,1,2,1,1,0,0,203,1,2
2846,2,0,2,266,0,2,1,2,7,2,1,2,1,3,1,1,0,0,769,4,3
2847,1,0,5,307,0,2,2,5,0,3,2,2,1,2,1,1,0,0,28,2,1
2848,1,0,9,307,0,2,2,0,0,2,1,1,1,1,1,1,0,0,302,1,4
2849,1,0,39,307,0,1,1,7,0,2,1,1,1,2,1,1,0,0,124,5,2
2850,2,0,2,266,0,2,1,7,0,1,1,2,1,2,2,1,0,0,198,2,1
2851,1,0,24,307,307,2,2,7,0,3,1,2,2,3,1,1,0,0,383,3,4
2852,2,0,5,265,0,3,1,4,6,2,2,2,2,2,1,3,0,0,123,3,4
2853,1,0,2,109,307,2,1,2,5,2,2,1,1,2,1,4,0,0,110,15,0
2854,1,0,1,307,0,2,2,0,0,3,1,2,1,2,2,1,0,0,481,3,4
2855,1,0,1,213,307,3,1,2,7,2,2,2,1,2,1,2,0,0,733,13,2
2856,1,0,36,189,0,2,1,2,0,2,1,2,1,1,1,1,0,0,182,2,1
2857,1,0,76,307,0,1,2,5,7,2,1,1,1,1,1,1,0,0,394,1,4
2858,1,0,24,307,0,2,2,7,0,2,1,2,2,2,1,1,0,0,258,3,3
2859,2,0,2,285,0,2,6,0,0,2,3,1,1,2,1,1,480,0,244,2,2
2860,1,0,3,307,0,2,1,2,7,2,1,2,2,2,1,2,0,0,54,3,2
2861,2,0,24,266,0,2,1,4,7,2,1,1,1,1,1,1,50,0,132,5,3
2862,1,0,3,307,0,2,2,5,0,2,1,1,1,2,1,1,0,0,197,4,2
2863,1,0,36,307,0,2,7,0,0,1,2,1,1,1,1,1,0,0,1006,5,3
2864,1,0,2,307,0,2,1,2,0,2,2,1,1,2,1,1,0,0,29,1,1
2865,2,0,18,266,0,1,1,2,3,2,1,2,2,2,1,1,0,0,365,2,4
2866,2,0,1,299,0,3,2,5,7,1,1,2,2,2,2,4,0,0,729,1,1
2867,2,0,4,266,0,1,1,0,0,2,1,2,2,2,1,1,0,0,81,2,1
2868,2,0,10,247,0,1,1,3,0,1,1,1,1,1,1,1,0,0,356,3,2
2869,1,0,42,20,0,1,2,0,0,2,1,2,2,2,1,1,0,0,551,5,1
2870,1,0,6,307,0,1,1,2,7,2,1,1,1,1,1,1,150,0,278,11,2
2871,1,0,84,207,0,1,1,2,7,2,1,1,1,1,1,1,0,0,74,2,3
2872,2,0,2,266,0,1,7,0,0,2,1,2,2,2,1,1,10,0,303,3,2
2873,1,0,4,307,0,2,4,0,0,1,2,2,1,1,1,1,0,0,352,8,3
2874,1,0,12,307,0,2,2,0,0,2,2,3,3,1,2,1,0,0,615,3,4
2875,2,0,18,266,0,3,4,0,0,3,1,2,2,2,1,5,0,0,407,1,3
2876,1,0,36,195,0,2,1,7,0,1,1,1,1,1,1,1,0,0,164,2,4
2877,2,0,3,263,0,1,1,7,0,2,1,1,1,2,1,2,0,0,691,4,2
2878,2,0,2,254,0,3,1,2,7,2,1,2,1,2,1,3,0,0,92,5,4
2879,1,0,1,307,0,1,2,4,0,2,2,2,2,2,1,1,1,0,120,2,1
2880,2,0,15,292,0,2,7,0,0,2,1,2,2,3,1,1,0,0,121,1,4
2881,1,0,36,200,0,2,2,0,0,2,1,3,3,3,1,1,300,0,46,1,4
2882,2,0,12,266,0,2,1,2,7,2,1,2,2,2,1,1,0,0,125,1,4
2883,1,0,2,307,0,2,1,7,0,3,1,3,3,2,1,1,0,0,134,2,3
2884,1,0,3,307,0,1,1,2,0,2,1,1,1,2,1,1,0,0,444,3,1
2885,2,0,1,266,0,3,1,6,7,1,1,2,2,2,1,4,0,0,33,3,1
2886,1,0,1,307,307,2,1,2,7,2,1,1,1,3,1,11,0,0,20,11,4
2887,2,0,2,285,265,1,6,7,0,2,3,2,1,2,1,1,150,0,694,6,0
2888,1,0,1,307,307,1,2,0,0,2,2,2,1,2,1,1,0,0,12,3,1
2889,2,0,2,265,0,2,6,0,0,2,2,1,1,2,1,1,100,0,761,5,3
2890,2,0,2,299,0,1,4,6,0,2,2,2,1,2,1,2,100,0,137,3,4
2891,1,0,5,307,0,2,2,5,7,2,2,2,2,2,1,1,0,0,29,1,4
2892,1,0,2,307,0,2,1,2,0,2,2,2,1,2,1,1,0,0,601,2,2
2893,2,0,3,266,0,1,1,7,0,2,1,3,3,3,1,1,0,0,58,2,2
2894,2,0,12,303,0,2,2,5,7,2,1,2,2,1,1,1,0,0,519,3,2
2895,1,0,3,307,0,2,4,0,0,2,1,1,1,1,1,1,0,0,170,5,4
2896,1,0,5,307,0,1,5,0,0,2,1,3,3,3,1,1,0,1,681,10,2
2897,1,0,16,205,0,1,1,2,7,1,1,1,1,2,1,1,300,0,228,4,1
2898,1,0,2,307,307,1,7,0,0,2,1,2,1,2,1,1,0,0,166,1,2
2899,1,0,24,218,307,1,1,0,0,2,2,3,3,1,1,1,0,0,335,5,3
2900,2,0,3,266,0,2,6,7,0,1,1,2,1,2,1,1,0,0,545,10,2
2901,2,0,6,266,0,2,3,4,5,2,1,1,1,2,1,1,0,0,162,1,4
2902,1,0,3,307,0,1,2,7,0,2,2,1,1,2,1,1,0,0,76,2,3
2903,1,0,3,307,307,2,1,0,0,2,1,2,2,3,1,2,0,0,32,5,4
2904,1,0,1,179,307,3,1,2,0,2,2,2,2,2,1,5,0,0,22,0,3
2905,2,0,2,266,266,3,1,2,3,2,1,2,2,2,1,3,0,0,204,1,3
2906,2,0,12,266,0,2,1,0,0,2,2,3,3,3,1,1,0,0,924,6,4
2907,1,0,2,307,0,2,2,3,0,1,1,2,1,3,1,1,0,0,432,3,2
2908,1,0,5,307,0,1,1,2,6,2,1,2,2,2,1,1,0,0,111,2,3
2909,1,0,1,307,0,2,5,0,0,2,1,1,1,2,1,1,0,0,142,1,2
2910,2,0,5,266,266,1,1,7,0,3,1,3,3,3,1,1,0,0,218,13,1
2911,2,0,2,266,266,3,1,6,0,2,2,2,2,2,1,4,0,0,47,3,3
2912,2,0,5,282,0,2,6,7,0,2,2,3,3,3,1,1,0,0,16,2,1
2913,2,0,6,285,264,2,3,6,7,1,3,1,1,2,1,2,750,0,396,4,2
2914,1,0,2,307,0,2,6,7,0,2,1,2,2,2,1,1,20,0,144,1,2
2915,1,0,2,307,218,2,2,0,0,2,2,1,1,2,1,1,0,0,397,4,1
2916,1,0,1,307,0,1,1,2,0,2,1,2,2,2,1,4,0,0,465,30,4
2917,2,0,2,266,0,1,1,7,0,2,1,2,2,2,1,1,0,0,413,6,3
2918,1,0,1,307,307,3,1,2,7,1,1,2,2,2,1,6,0,0,217,5,2
2919,2,0,8,247,0,1,3,0,0,2,2,3,3,3,1,1,0,0,42,1,1
2920,2,0,24,290,0,2,5,6,0,1,1,1,1,1,1,2,300,0,3493,1,2
2921,1,0,1,307,0,2,1,0,0,2,1,2,1,2,1,1,0,0,21,6,1
2922,1,0,1,307,0,1,1,2,7,2,2,2,2,2,1,1,0,0,226,3,2
2923,1,0,1,307,0,1,2,0,0,2,1,2,2,2,1,1,10,0,98,2,1
2924,1,0,14,307,72,2,1,2,0,2,2,3,3,1,1,1,200,0,615,5,1
2925,2,0,3,266,0,2,6,7,0,1,2,2,1,2,1,1,0,0,25,1,0
2926,1,0,3,224,307,1,1,2,7,2,2,2,1,2,1,1,0,0,220,5,1
2927,2,0,14,276,285,1,5,0,0,3,3,1,1,2,1,1,300,0,47,3,1
2928,2,0,1,284,295,2,1,7,0,1,1,2,2,2,1,1,0,0,476,1,4
2929,1,0,1,307,0,3,1,2,5,2,1,2,2,2,1,4,0,0,362,5,1
2930,1,0,2,307,0,2,1,2,7,2,1,3,3,2,1,1,0,0,125,3,2
2931,2,0,2,266,0,3,1,4,7,1,1,2,2,2,1,4,0,0,419,4,3
2932,1,0,81,119,307,1,1,7,0,2,2,2,1,2,1,1,0,0,437,1,3
2933,2,0,24,266,266,1,5,0,0,3,1,1,1,2,3,1,0,0,1700,11,3
2934,1,0,3,307,0,3,1,2,7,2,2,2,2,2,1,7,0,0,425,0,2
2935,2,0,8,266,0,2,2,6,7,2,1,2,1,2,1,1,0,0,242,2,4
2936,1,0,2,307,0,3,1,7,0,2,1,2,1,2,1,2,0,0,353,9,3
2937,1,0,12,307,0,2,4,5,0,2,2,1,1,1,1,1,0,0,377,1,2
2938,2,0,4,299,0,1,4,7,0,2,1,1,1,3,1,1,0,0,55,2,3
2939,2,0,18,266,0,2,1,2,7,2,1,1,1,2,1,1,0,0,637,3,4
2940,2,0,5,266,0,1,1,0,0,2,1,3,3,2,1,1,0,0,116,1,4
2941,1,0,1,307,0,2,1,2,0,2,1,1,1,2,1,1,0,0,460,5,2
2942,2,0,2,264,264,2,1,2,4,3,3,2,1,3,1,1,0,0,194,3,1
2943,1,0,2,307,0,1,1,2,4,2,2,1,1,2,1,1,0,0,149,7,2
2944,1,0,2,307,0,2,2,0,0,2,1,1,1,2,1,1,0,0,136,1,2
2945,1,0,1,307,0,2,1,2,7,2,1,1,3,3,1,2,45,0,405,3,3
2946,1,0,2,307,307,3,1,2,5,2,1,2,2,2,1,5,150,0,608,24,4
2947,1,0,1,307,307,3,1,2,7,2,1,2,2,2,1,5,0,0,393,10,2
2948,2,0,5,265,0,2,5,6,0,2,1,2,2,2,1,2,0,0,40,2,4
2949,1,0,12,152,307,1,1,0,0,2,1,2,1,1,1,1,0,0,333,2,2
2950,1,0,1,307,0,2,1,2,0,2,1,2,1,2,1,1,0,0,683,2,4
2951,1,0,3,307,103,1,1,0,0,2,2,1,1,2,1,1,0,0,14,5,2
2952,2,0,4,299,0,1,1,2,7,2,1,1,1,3,1,1,0,0,1210,3,4
2953,1,0,8,307,0,2,2,0,0,2,2,1,1,2,2,1,0,0,107,2,2
2954,1,0,2,307,0,2,2,0,0,2,2,1,1,2,1,1,350,0,672,2,3
2955,2,0,2,266,0,2,1,7,0,1,1,2,1,2,1,1,0,0,81,3,1
2956,2,0,1,292,0,2,2,6,7,1,2,2,2,2,1,1,0,0,356,5,3
2957,2,0,3,266,0,2,4,7,0,2,1,1,1,2,1,1,0,0,4,2,2
2958,1,0,2,307,0,3,1,0,0,2,1,3,3,3,1,6,0,0,68,1,4
2959,2,0,24,247,292,2,6,0,0,3,2,3,1,1,1,1,150,0,133,1,4
2960,1,0,1,307,0,1,1,2,0,2,1,2,2,2,1,1,0,0,518,5,1
2961,1,0,2,307,0,1,1,2,7,1,1,1,1,2,1,1,0,0,91,2,4
2962,1,0,1,307,0,2,1,2,0,2,1,1,1,3,1,1,0,0,95,4,2
2963,2,0,3,265,0,2,5,6,7,2,2,1,2,2,1,1,0,0,450,5,2
2964,2,0,2,266,0,1,2,5,7,2,1,2,2,2,1,1,0,0,127,2,3
2965,2,0,5,256,0,3,6,0,0,2,2,2,3,3,1,5,0,0,42,0,4
2966,1,0,3,307,0,2,2,7,0,2,1,1,1,2,1,1,0,0,258,9,3
2967,1,0,2,307,0,1,2,7,0,2,1,1,1,2,1,1,0,0,127,4,2
2968,2,0,72,266,0,2,3,4,7,1,1,2,2,1,1,1,0,0,1103,2,2
2969,2,0,3,265,0,2,2,0,0,1,2,2,2,2,1,1,0,0,383,2,1
2970,2,0,0,266,0,3,1,2,7,2,1,2,2,2,1,3,0,0,126,2,1
2971,2,0,4,266,0,2,3,6,0,2,1,2,2,2,1,2,0,0,460,3,3
2972,2,0,1,266,0,1,1,0,0,1,1,2,2,2,1,1,0,0,182,1,4
2973,1,0,6,109,0,2,3,0,0,3,3,2,2,2,1,1,0,1,1411,5,1
2974,1,0,5,218,307,2,7,0,0,2,2,2,2,2,1,1,50,0,109,4,2
2975,1,0,60,60,128,3,1,2,7,1,1,1,1,1,1,2,0,0,268,4,3
2976,2,0,24,264,0,1,7,0,0,3,3,2,2,2,1,1,0,0,124,2,2
2977,1,0,1,307,0,2,1,2,0,2,1,2,2,2,1,1,0,0,187,9,3
2978,2,0,2,266,0,2,7,0,0,2,1,2,1,2,1,1,0,0,544,1,2
2979,1,0,5,307,0,1,2,0,0,2,1,1,1,2,1,1,0,0,523,4,3
2980,1,0,3,307,0,2,2,7,0,2,2,1,1,2,1,1,0,0,420,7,2
2981,2,0,2,292,0,1,2,0,0,2,2,2,1,2,1,1,0,0,55,2,1
2982,2,0,2,265,0,2,1,4,7,2,2,2,2,2,1,1,100,0,247,4,2
2983,1,0,24,307,0,1,2,0,0,2,2,3,3,1,1,1,0,0,12,0,4
2984,1,0,3,307,0,2,2,6,7,2,1,1,1,2,1,2,0,1,473,3,4
2985,1,0,2,307,0,1,2,0,0,2,1,1,1,2,1,1,0,0,243,3,1
2986,1,0,2,307,0,3,1,2,7,2,2,2,2,2,1,5,0,0,67,6,4
2987,2,0,4,266,0,1,3,0,0,2,1,2,1,2,1,1,0,0,27,5,2
2988,1,0,1,70,307,1,1,7,0,2,1,2,2,2,1,1,0,0,380,5,1
2989,2,0,48,266,0,2,6,7,0,2,1,2,2,2,1,1,0,0,408,5,4
2990,1,0,5,307,0,2,3,5,0,2,1,1,1,2,1,1,0,0,240,3,2
2991,2,0,21,299,0,1,3,7,0,3,1,1,1,3,1,1,0,0,539,6,3
2992,1,0,2,307,0,1,1,2,0,1,1,1,1,2,1,1,0,0,265,5,3
2993,1,0,39,307,0,2,2,0,0,2,1,1,1,3,1,1,0,0,260,1,3
2994,1,0,2,307,0,1,2,5,0,2,2,1,1,2,1,1,0,0,392,4,2
2995,1,0,1,39,218,3,1,5,7,2,1,2,1,2,1,4,0,5,271,5,1
2996,1,0,9,307,0,2,7,0,0,2,2,1,1,1,1,1,0,0,89,2,4
2997,2,0,2,266,265,1,1,6,0,2,1,2,3,2,1,1,0,0,396,8,3
2998,1,0,2,307,0,2,1,7,0,2,2,2,2,2,1,1,0,0,18,2,1
2999,1,0,16,307,307,1,2,0,0,2,2,3,3,3,1,1,0,0,12,1,4
3000,2,0,2,266,0,2,1,5,7,2,1,2,1,2,1,1,0,0,36,1,3
3001,1,0,36,307,0,2,4,7,0,2,1,1,1,1,1,1,0,0,514,4,4
3002,2,0,12,265,0,2,4,5,0,1,2,3,3,2,1,1,0,0,408,3,2
3003,1,0,5,218,205,2,1,2,6,2,2,1,1,2,1,1,0,0,375,2,1
3004,2,0,4,243,241,2,2,4,0,1,2,3,3,1,1,1,0,0,145,4,3
3005,1,0,48,109,0,2,3,5,0,2,2,1,2,1,1,1,0,0,238,2,2
3006,1,0,24,189,189,2,1,0,0,2,1,1,1,2,1,1,0,0,159,0,2
3007,2,0,1,266,0,3,6,0,0,1,1,2,1,2,1,2,0,0,110,5,4
3008,1,0,6,307,307,1,1,0,0,2,1,2,2,2,1,1,0,0,640,3,3
3009,2,0,2,299,0,2,2,7,0,2,1,2,1,2,1,1,0,0,92,3,3
3010,1,0,2,141,218,1,1,2,0,2,1,1,1,2,1,1,0,0,474,10,3
3011,2,0,1,266,0,2,6,0,0,1,1,2,2,2,1,1,0,0,82,6,1
3012,1,0,84,307,0,2,1,0,0,2,2,1,1,1,1,1,0,0,38,1,4
3013,1,0,1,141,307,1,2,0,0,2,1,3,3,2,1,1,0,0,90,1,3
3014,2,0,1,266,0,2,2,0,0,1,1,2,1,2,1,6,0,0,181,1,2
3015,1,0,1,69,307,3,1,2,7,2,1,2,2,2,1,2,100,0,608,6,3
3016,1,0,24,307,44,2,2,0,0,3,1,1,1,1,1,1,0,0,471,3,3
3017,1,0,2,307,0,2,1,7,0,1,2,2,1,2,1,1,0,0,76,1,4
3018,2,0,12,265,0,1,6,7,0,1,2,3,3,3,2,1,1,0,459,5,2
3019,2,0,1,266,0,3,1,2,7,1,1,2,2,2,1,2,0,0,57,3,2
3020,1,0,6,307,0,3,2,3,0,2,1,1,1,1,1,2,0,0,201,8,4
3021,1,0,12,179,0,1,5,0,0,1,2,3,3,2,1,1,0,0,889,2,2
3022,1,0,24,179,0,2,7,0,0,1,1,1,1,2,1,1,200,0,930,5,0
3023,2,0,1,266,0,3,1,4,7,1,1,2,1,2,1,3,0,0,496,9,3
3024,2,0,1,292,0,3,1,3,7,1,1,2,2,2,1,10,0,0,111,3,2
3025,2,0,3,285,266,2,1,3,7,2,2,2,2,2,1,1,50,0,677,5,2
3026,1,0,5,307,307,2,4,5,7,2,2,2,2,2,1,1,0,0,74,2,2
3027,2,0,1,265,0,3,6,7,0,2,2,2,2,2,1,2,0,0,1518,25,1
3028,1,0,9,307,307,1,1,0,0,2,2,2,1,2,1,1,0,0,86,2,2
3029,2,0,1,266,0,3,1,5,6,2,2,2,2,2,1,4,0,0,202,4,2
3030,1,0,2,307,307,1,1,2,0,2,2,1,1,2,1,1,0,0,108,2,4
3031,2,0,4,266,0,2,2,0,0,1,1,1,1,2,1,1,100,0,204,1,4
3032,2,0,60,277,266,2,1,6,7,2,2,1,1,1,1,2,0,0,830,2,3
3033,1,0,12,128,307,1,2,7,0,2,2,1,1,1,1,1,0,0,471,6,4
3034,1,0,1,201,218,3,6,0,0,2,2,2,3,2,1,7,250,0,236,1,4
3035,1,0,1,307,0,2,5,0,0,1,1,2,2,2,1,1,0,0,109,1,2
3036,2,0,3,266,0,1,2,6,7,2,1,3,3,3,1,1,0,0,227,0,4
3037,2,0,4,266,0,2,1,7,0,1,1,2,1,2,1,1,0,0,126,3,4
3038,1,0,84,307,195,1,6,7,0,2,2,1,1,1,1,1,100,0,180,1,2
3039,2,0,4,266,0,2,5,6,0,2,1,3,3,2,1,1,50,0,699,1,4
3040,1,0,96,75,179,1,6,0,0,1,3,2,2,2,1,1,20,0,69,1,2
3041,2,0,1,266,0,3,2,5,7,1,1,2,2,2,1,7,0,0,362,1,1
3042,1,0,24,141,307,2,2,0,0,3,1,1,1,3,1,1,100,0,151,2,4
3043,1,0,1,307,0,3,1,2,7,2,1,2,2,2,1,4,0,0,475,2,2
3044,2,0,5,266,0,3,1,6,7,1,1,2,2,2,1,4,0,0,45,6,3
3045,2,0,5,266,0,1,4,7,0,2,1,2,1,2,1,1,150,0,591,5,2
3046,1,0,1,307,0,2,1,2,3,2,1,2,2,2,1,1,0,0,502,5,2
3047,2,0,2,266,0,1,4,7,0,1,1,2,1,2,1,1,0,0,396,5,3
3048,1,0,96,111,0,2,1,2,5,3,1,3,3,3,1,1,0,0,100,2,1
3049,2,0,6,306,0,2,2,3,4,2,2,3,3,1,1,1,0,0,117,2,4
3050,1,0,24,195,0,2,1,2,5,2,3,1,1,3,1,1,0,0,40,0,1
3051,1,0,2,307,0,1,1,0,0,2,1,2,2,2,1,3,0,0,68,1,0
3052,1,0,12,307,0,2,2,3,0,2,1,2,2,1,1,1,0,0,795,5,4
3053,1,0,1,307,0,2,1,2,0,2,1,2,2,2,1,1,0,0,180,4,1
3054,2,0,36,266,0,2,2,5,7,3,1,1,1,1,1,1,0,0,267,2,2
3055,1,0,3,307,0,2,2,0,0,2,1,2,2,2,1,1,0,0,11,3,2
3056,2,0,2,292,266,2,2,7,0,1,2,3,3,2,1,1,0,0,102,3,2
3057,2,0,6,265,0,1,4,7,0,2,2,1,1,1,1,1,100,0,249,6,3
3058,1,0,4,307,0,2,2,0,0,2,1,2,2,2,1,2,0,0,82,2,4
3059,2,0,15,266,0,1,1,7,0,2,1,1,1,1,1,1,0,0,75,1,4
3060,1,0,8,307,0,2,6,7,0,1,1,1,1,1,1,1,0,0,271,4,4
3061,1,0,2,307,307,2,1,5,0,2,1,1,1,2,1,1,0,0,267,4,1
3062,1,0,2,307,0,1,1,7,0,2,1,2,2,2,1,1,1,0,16,9,1
3063,1,0,1,307,0,3,1,2,0,1,1,2,2,2,1,7,0,0,286,5,4
3064,1,0,3,307,0,2,2,5,0,2,2,2,2,2,1,1,0,1,380,4,4
3065,1,0,48,179,0,1,2,0,0,2,1,3,3,2,2,1,0,0,16,2,1
3066,2,0,5,265,0,1,3,5,0,2,2,2,1,2,1,1,0,0,136,1,4
3067,2,0,3,266,0,2,1,7,0,1,1,1,1,2,1,1,0,0,11,3,3
3068,1,0,1,307,0,2,1,0,0,2,2,2,2,2,1,1,0,0,112,5,2
3069,1,0,2,307,0,2,2,0,0,2,1,1,1,2,1,1,0,1,296,5,2
3070,2,0,1,266,0,1,1,6,0,2,1,2,2,2,1,1,50,0,814,4,1
3071,2,0,2,266,266,1,1,7,0,1,1,2,2,3,1,2,0,0,944,5,1
3072,1,0,17,189,0,1,1,0,0,2,1,1,1,2,1,1,0,0,121,0,2
3073,2,0,17,285,0,2,5,7,0,2,2,2,2,2,1,1,40,0,89,3,2
3074,1,0,3,307,0,3,2,5,0,2,2,2,2,2,1,2,0,0,43,1,2
3075,1,0,12,307,200,1,1,5,0,2,1,3,3,2,1,1,0,0,286,1,2
3076,1,0,72,213,0,2,7,0,0,2,2,1,1,2,1,1,0,0,755,3,2
3077,1,0,36,307,307,2,1,0,0,3,1,1,1,2,1,1,0,0,914,4,4
3078,1,0,84,109,0,2,3,7,0,2,3,1,1,2,1,1,0,0,107,2,2
3079,1,0,1,307,0,3,1,2,7,2,1,2,1,2,1,4,0,0,158,1,1
3080,1,0,2,307,0,2,1,7,0,2,2,1,1,2,1,1,0,0,331,1,3
3081,1,0,1,307,0,2,2,0,0,2,1,1,1,1,1,1,0,0,206,1,2
3082,2,0,4,266,265,1,1,7,0,2,2,1,1,2,1,1,0,0,748,3,3
3083,2,0,3,265,0,2,3,7,0,2,2,2,2,2,1,1,0,0,19,3,2
3084,1,0,3,189,307,1,1,0,0,2,1,2,2,2,1,1,0,0,151,2,3
3085,2,0,3,299,0,2,1,2,7,1,1,1,1,2,1,1,0,0,499,3,2
3086,1,0,1,307,0,3,3,5,0,2,1,2,1,2,1,2,0,0,37,1,4
3087,1,0,8,307,0,2,6,0,0,2,1,1,1,1,1,1,0,0,890,2,4
3088,2,0,1,266,0,3,1,7,0,2,1,2,2,2,1,4,0,0,113,1,2
3089,1,0,3,307,0,2,2,0,0,2,1,1,1,2,1,1,0,0,1329,5,2
3090,2,0,1,266,0,1,6,7,0,1,1,2,2,2,1,2,0,0,464,9,1
3091,1,0,12,119,103,1,1,2,0,3,2,3,3,3,1,1,0,0,91,1,2
3092,2,0,1,266,0,2,7,0,0,1,1,1,1,1,1,3,0,0,408,2,1
3093,1,0,12,60,0,2,6,0,0,1,1,3,3,3,1,1,0,0,567,2,2
3094,1,0,18,155,155,2,2,7,0,2,2,2,1,2,1,1,0,0,410,3,2
3095,1,0,5,307,0,1,2,0,0,2,1,1,1,2,1,1,0,0,273,3,2
3096,2,0,3,264,266,3,4,5,7,2,2,2,2,2,1,4,0,0,130,5,2
3097,2,0,2,266,256,1,1,2,6,3,1,2,2,2,1,3,0,0,18,4,1
3098,1,0,2,307,307,3,1,2,7,2,2,1,1,2,1,3,0,0,345,20,3
3099,1,0,1,307,0,2,2,0,0,1,1,2,2,2,1,1,0,0,166,2,4
3100,2,0,1,299,266,1,1,2,6,2,1,2,1,2,1,1,50,0,774,5,1
3101,1,0,36,307,0,1,1,7,0,2,1,1,1,1,1,1,0,0,650,4,2
3102,2,0,12,292,246,2,2,5,0,2,1,2,2,2,1,1,0,0,263,2,1
3103,1,0,24,307,0,1,5,0,0,2,2,3,3,3,1,1,0,0,115,2,4
3104,1,0,3,307,0,2,1,2,5,3,1,3,3,2,1,2,0,0,576,2,3
3105,2,0,1,292,0,1,2,6,0,3,2,3,3,3,1,1,0,0,186,8,3
3106,2,0,2,292,0,2,2,7,0,1,1,3,3,3,1,1,0,0,276,4,4
3107,2,0,6,243,0,1,4,7,0,1,1,2,2,2,1,1,0,0,627,3,1
3108,2,0,7,266,0,1,6,7,0,2,1,2,1,2,1,1,0,0,54,1,4
3109,1,0,1,307,0,2,5,0,0,2,1,2,1,2,1,1,0,0,537,1,3
3110,1,0,2,307,307,1,5,0,0,2,2,2,1,2,1,1,0,0,118,1,4
3111,1,0,3,307,307,3,1,2,0,3,1,3,3,3,1,3,0,0,441,12,3
3112,2,0,11,266,0,1,3,7,0,2,1,2,2,2,1,1,0,0,579,3,4
3113,2,0,2,265,0,1,2,3,0,2,1,3,1,2,1,1,0,0,194,1,3
3114,2,0,1,266,0,1,1,5,6,1,1,2,2,2,1,1,0,0,592,5,1
3115,2,0,4,266,0,1,3,0,0,2,2,1,1,2,1,1,0,0,329,2,2
3116,1,0,1,307,0,1,1,2,7,2,1,2,2,2,1,1,20,0,141,1,2
3117,1,0,1,105,103,2,1,2,7,2,2,2,2,2,1,3,0,0,360,4,2
3118,2,0,6,266,0,1,2,7,0,2,1,1,1,2,1,1,0,0,177,1,4
3119,2,0,2,266,0,2,1,2,0,2,1,2,2,2,1,1,20,0,91,1,4
3120,2,0,1,282,0,1,1,2,7,2,2,2,2,2,2,1,0,0,61,3,0
3121,2,0,2,266,0,2,1,0,0,1,1,2,2,2,1,1,0,0,168,3,4
3122,1,0,12,307,0,1,1,3,7,2,1,3,3,3,1,1,0,0,265,3,2
3123,1,0,24,307,0,1,1,0,0,3,2,1,1,1,1,1,30,0,72,4,4
3124,2,0,2,265,0,1,1,6,0,2,2,2,2,2,1,4,0,0,598,1,2
3125,1,0,5,307,0,2,5,0,0,2,1,1,1,1,1,1,0,0,67,4,4
3126,1,0,1,307,0,2,5,7,0,2,1,2,2,2,1,1,0,0,841,10,3
3127,2,0,14,292,0,1,2,5,0,2,2,1,1,1,1,1,0,0,422,3,2
3128,1,0,2,307,0,2,1,7,0,2,1,2,2,2,1,1,0,0,686,6,2
3129,2,0,2,305,0,3,1,7,0,1,1,1,1,3,1,2,0,0,418,2,3
3130,1,0,7,307,0,2,1,2,0,1,1,1,1,1,1,1,0,0,403,1,4
3131,2,0,0,266,0,1,1,0,0,1,1,2,2,2,1,1,0,0,61,2,4
3132,2,0,5,266,285,1,2,3,4,2,3,2,1,2,1,1,80,0,270,7,1
3133,2,0,6,265,0,3,1,7,0,2,2,2,2,2,1,2,0,0,220,3,4
3134,1,0,3,307,0,1,1,2,5,2,1,1,1,2,1,1,0,0,105,2,4
3135,1,0,3,307,307,2,2,7,0,2,1,2,2,2,1,1,0,0,250,5,3
3136,1,0,12,307,0,1,1,2,7,2,2,1,1,1,1,1,0,0,1540,6,4
3137,1,0,1,307,0,3,2,0,0,2,2,2,2,2,1,4,0,0,457,4,3
3138,1,0,2,307,0,2,1,2,0,2,2,3,3,2,1,1,0,0,122,3,2
3139,1,0,2,213,307,2,1,7,0,1,2,2,2,2,1,3,0,0,210,5,1
3140,2,0,1,266,0,2,1,7,0,2,1,2,1,2,1,3,50,0,1058,8,3
3141,2,0,2,264,0,1,3,7,0,2,3,2,1,2,1,1,0,0,281,2,4
3142,1,0,21,182,0,1,1,2,5,1,1,2,2,2,1,1,500,0,153,1,3
3143,1,0,1,307,0,3,1,2,5,2,1,2,2,2,1,6,0,0,338,4,2
3144,1,0,2,307,0,2,1,2,0,2,1,1,1,2,1,1,0,0,77,2,3
3145,1,0,36,195,0,1,7,0,0,1,1,1,1,2,1,1,0,0,39,1,1
3146,1,0,2,103,307,2,1,2,0,2,2,3,3,2,1,1,0,0,132,3,3
3147,1,0,52,119,0,1,1,5,6,2,2,1,1,2,1,1,100,0,199,5,1
3148,2,0,2,266,0,2,6,7,0,2,1,2,1,2,2,1,0,0,1074,6,1
3149,1,0,2,307,0,1,2,0,0,2,1,2,2,2,1,1,0,0,144,1,2
3150,2,0,18,266,0,3,1,3,7,2,2,2,2,2,2,4,0,0,605,3,3
3151,1,0,4,307,109,1,3,0,0,2,2,1,2,1,1,1,0,0,127,2,4
3152,2,0,1,266,0,1,1,5,0,1,1,2,1,2,1,1,0,0,544,4,1
